,greedy,classic
14329,57312.07793730655,54547.795403468066
14330,48968.53915021996,47495.89542247472
14331,50980.58863317448,49192.245223195365
14332,50888.055565155344,49576.81046775629
14333,49831.63171175085,48609.18726818073
14334,49884.21794058483,48818.01134082248
14335,47339.00151115822,46483.36902383751
14336,44011.93218333316,43582.88402869704
14337,43918.35583636325,43636.481640126454
14338,34967.515964423445,35331.760922386195
14339,38428.17248963461,38577.597002815986
14340,40439.08745973726,40457.037189787705
14341,42575.665672848576,42372.50599148607
14342,44628.19385349376,44270.25428673136
14343,46766.0230179106,46116.476571091625
14344,48579.90352142042,47853.25316192339
14345,50550.7819548433,49501.82750847629
14346,52330.37983734767,50920.737320966575
14347,53871.5242114305,52385.178522107366
14348,55408.09237643379,53984.98616168415
14349,56986.22197221472,55271.29971348469
14350,58014.74091337967,56059.83797920113
14351,58709.981641092134,56142.58994208238
14352,59727.02212100702,56608.7607988457
14353,60995.38432068352,57460.51862886692
14354,60995.23810704779,56707.46925859767
14355,61352.978913922554,56938.73272271797
14356,62220.60970809822,57681.05928561
14357,62340.9664981662,57848.27345355752
14358,62212.432777172304,57936.85059663199
14359,61797.50205519437,57866.73397616603
14360,61160.667857153356,57383.927959946326
14361,61091.89333234046,56961.119453940024
14362,59776.32610477877,56132.250099687655
14363,58437.03437901293,55392.075891019755
14364,57061.31723686845,54302.075575007926
14365,55234.847820686955,53091.1215826199
14366,55204.619330481524,53205.5060196392
14367,45566.37519059508,44991.29479264557
14368,49154.135556577494,48197.82319075173
14369,49315.34728819477,48313.85452151318
14370,46539.82324133756,45760.262802588746
14371,46163.037661105416,45568.253407338896
14372,45873.66997254695,45494.294959599014
14373,34967.515964423445,35331.760922386195
14374,38164.41401263902,38330.32945984788
14375,40214.337181668656,40248.258279646114
14376,42417.9052358459,42230.81242594562
14377,44561.785212212395,44206.68644410553
14378,46899.662353033505,46236.217614889436
14379,48872.749944525705,48114.87381149122
14380,50682.94169518536,49629.4132624118
14381,52601.33422883181,51174.15488655196
14382,54358.95100177371,52848.07860931163
14383,55738.449994881514,54287.536947004795
14384,57463.81496451765,55695.40871842868
14385,58826.23818992266,56794.91817817372
14386,59913.087070258654,57232.29342602782
14387,61251.67565614506,57983.625862039844
14388,62228.36902445024,58553.59500223767
14389,63915.395529614296,59497.68785726214
14390,63903.99208641782,59819.42342688423
14391,65076.22210598759,60794.16427125569
14392,63647.951885879986,59917.07179234219
14393,62964.85995834789,58676.25278219855
14394,62955.81341798905,58971.43689957694
14395,62376.98963204115,58523.95612165637
14396,61805.86863195863,57672.80756010585
14397,60537.99751948148,56877.85756854599
14398,59244.80016863275,56184.146805152996
14399,58042.2425404922,55248.29136975262
14400,55374.70968010748,53540.86184068452
14401,53559.02585945672,51934.8502834969
14402,48030.87998974587,47227.06969812145
14403,48999.14703486462,48058.891806172505
14404,47430.238635514695,46626.27442580691
14405,45737.72752366937,45092.02571889423
14406,44739.036480537114,44246.77931525472
14407,44586.38996017812,44259.99586731382
14408,34967.515964423445,35331.760922386195
14409,35502.24589199802,35833.40853962346
14410,35680.66115704427,36003.189725422315
14411,35924.64328401758,36220.91815885982
14412,36754.35644150359,36988.74007855728
14413,37415.77691912784,37580.69787242374
14414,38008.253682626135,38131.406962986664
14415,38925.354262253895,38961.77479291916
14416,41962.62968652414,41674.06374950693
14417,44718.37670973781,44215.67115084858
14418,44717.96187881481,44278.31726489299
14419,46989.68034581541,46280.62678466833
14420,43468.60638392853,43035.12405135934
